"Dataset","Pval","LogFC","Sites"
"GSE106648",0.01,0.035,53
"GSE107143",0.01,0.035,21859
"GSE111223",0.01,0.035,11879
"GSE111629",0.01,0.035,287
"GSE118468",0.01,0.035,7838
"GSE118469",0.01,0.035,6977
"GSE122244",0.01,0.035,2931
"GSE130029",0.01,0.035,327
"GSE130030",0.01,0.035,512
"GSE131752",0.01,0.035,1583
"GSE131989",0.01,0.035,230
"GSE134429",0.01,0.035,909
"GSE143942",0.01,0.035,1829
"GSE144858",0.01,0.035,33
"GSE145714",0.01,0.035,7155
"GSE156994",0.01,0.035,135
"GSE166611",0.01,0.035,5881
"GSE175364",0.01,0.035,40307
"GSE182991",0.01,0.035,476
"GSE193836",0.01,0.035,3258
"GSE214297",0.01,0.035,2153
"GSE217633",0.01,0.035,4562
"GSE219293",0.01,0.035,4752
"GSE32148",0.01,0.035,562
"GSE42861",0.01,0.035,5835
"GSE56046",0.01,0.035,13
"GSE56581",0.01,0.035,10
"GSE59685",0.01,0.035,518
"GSE67705",0.01,0.035,6087
"GSE67751",0.01,0.035,48167
"GSE71841",0.01,0.035,198
"GSE72338",0.01,0.035,3110
"GSE72774",0.01,0.035,233
"GSE72776",0.01,0.035,3751
"GSE77696",0.01,0.035,7762
"GSE81961",0.01,0.035,2855
"GSE87640",0.01,0.035,602
"GSE87648",0.01,0.035,2998
"GSE99624",0.01,0.035,731
